Nome Fantasia;CNPJ;Porte;UF;Localidade;Email Comercial
HOTEL CORDILHEIRA;00.012.135/0001-77;EMPRESA DE PEQUENO PORTE;SP;Serra Negra;viviane@hotelshelton.com.br
AGOSTINI & LUNARDELLI LTDA - ME;00.014.971/0001-90;MICROEMPRESA;SP;Jaú;realcehotel@realcehotel.com.br
IBERICA'S PRAIA HOTEL;00.021.716/0001-75;EMPRESA DE PEQUENO PORTE;SP;Praia Grande;contato@hotelibericas.com.br
HOTEL RIO BRANCO;00.025.810/0001-00;MICROEMPRESA;SP;Aparecida;contato@hotelrioaparecida.com.br
POUSADA DOS ESQUILOS;00.029.365/0001-49;MICROEMPRESA;SP;Campos do Jordão;dosesquilos@globo.com
FLORES & FLORES CIA LTDA ME;00.029.716/0001-11;MICROEMPRESA;SP;Olímpia;contato@hotelolimpia.com.br
POUSADA AGUAS DE MARCO;00.055.696/0001-53;MICROEMPRESA;GO;Alto Paraíso de Goiás;reserva@chapadadosveadeiros.com.br
LAGOA COUNTRY CLUB;00.057.922/0001-35;MICROEMPRESA;RS;Cidreira;lagoaco@gmail.com
POUSADA DON QUIJOTE;00.058.363/0001-88;MICROEMPRESA;RJ;Armação dos Búzios;RESERVAS@HDQB.COM.BR
POUSADA DO TUCUNARÉ;00.059.202/0001-09;EMPRESA DE PEQUENO PORTE;MS;Três Lagoas;silvanamoreira@juriplan.com.br
POUSO DO SO VIGARIO;00.063.853/0001-72;MICROEMPRESA;GO;Pirenópolis;pirenopolis.org@gmail.com
POUSO DO FRADE;00.063.853/0002-53;MICROEMPRESA;GO;Pirenópolis;pirenopolis.org@gmail.com
ROMA  HOTEIS;00.071.556/0001-79;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
DIROMA INTERNATIONAL RESORT;00.071.556/0002-50;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
VILLAS DIROMA;00.071.556/0004-11;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
ROMA HOTEIS E REALIZAÇÕES - FILIAL FIORI;00.071.556/0005-00;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
ROMA HOTEIS E REALIZAÇÕES - EXCLUSIVE;00.071.556/0006-83;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
