Nome Fantasia;CNPJ;Porte;UF;Localidade;Email Comercial
ORANGE SUCOS E CAFÉ;00.019.078/0001-58;MICROEMPRESA;SP;São Paulo;orangealimentos@gmail.com
SKY'S LANCHES;00.052.076/0001-60;EMPRESA DE PEQUENO PORTE;DF;Brasília;skys@skys.com.br
RESTAURANTE ZENERE LTDA - ME;00.058.733/0001-87;MICROEMPRESA;SC;Fraiburgo;nonovito@hbinfo.com.br
DOCE SABOR LANCHONETE E CONFEITARIA;00.067.976/0001-81;MICROEMPRESA;GO;Jataí;docesabor@gmail.com
ROMA  HOTEIS;00.071.556/0001-79;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
DIROMA INTERNATIONAL RESORT;00.071.556/0002-50;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
VILLAS DIROMA;00.071.556/0004-11;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
ROMA HOTEIS E REALIZAÇÕES - FILIAL FIORI;00.071.556/0005-00;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
ROMA HOTEIS E REALIZACOES LTDA - EXCLUSIVE;00.071.556/0006-83;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
JARDINS ACQUA PARK;00.071.556/0007-64;DEMAIS;GO;Caldas Novas;adm@diroma.com.br
E L ORTIZ;00.072.167/0001-68;MICROEMPRESA;PR;Mauá da Serra;accristal@zipmail.com.br
Balneário Paraíso das Águas;00.076.945/0001-97;MICROEMPRESA;SC;Santa Rosa de Lima;contato@balnearioparaisodasaguas.com.br
HOTEL VIVA LO SONO;00.077.017/0001-47;DEMAIS;CE;Itapipoca;steladutra07@hotmail.com
HOTEL GIRASSOL PLAZA;00.082.535/0001-59;DEMAIS;TO;Palmas;financeiro@hotelgirassolplaza.com.br
SUICA PADARIA E CONFEITARIA;00.090.226/0001-20;DEMAIS;RS;Lajeado;UMBERTO@MALCONCONTABILIDADE.COM.BR
Cantina Tonet;00.092.042/0001-08;EMPRESA DE PEQUENO PORTE;RS;Caxias do Sul;CANTINATONET@CANTINATONET.COM.BR
SABOREANDO;00.112.535/0001-54;EMPRESA DE PEQUENO PORTE;MG;Belo Horizonte;saulohvm@gmail.com
FAZENDA ANGOLANA TURISMO RURAL E RESTAURANTE LTDa;00.118.884/0001-83;MICROEMPRESA;SP;Divino;fazendaangolana@hotmail.com
