Nome Fantasia;CNPJ;Porte;UF;Localidade;Email Comercial
REALIZA RENT A CAR;00.215.234/0001-56;DEMAIS;BA;Salvador;comercial@realizarentacar.com.br
MULTI CAR LOCADORA DE VEICULOS LTDA;00.257.222/0001-94;DEMAIS;SP;São Paulo;edgar@multicarlocadora.com.br
LOCABRAS LOCADORA DE VEICULOS;00.331.066/0001-64;MICROEMPRESA;DF;Brasília;locabrasveiculos@gmail.com
ATTI LOCADORA DE VEICULOS;00.357.672/0001-59;MICROEMPRESA;SC;Florianópolis;attitude@attitude.tur.br
LOCADORA AUTOVIA;00.410.723/0001-69;MICROEMPRESA;RJ;Volta Redonda;eliasromerson@gmail.com
PORTENTO CONSTRUCOES LTDA;00.437.311/0001-12;DEMAIS;PB;João Pessoa;PORTENTO@TERRA.COM.BR
PLAY CITY EVENTOS;00.546.072/0001-39;EMPRESA DE PEQUENO PORTE;ES;Cachoeiro de Itapemirim;playcity@playcity.com.br
MAGNUS TRANSPORTADORA;00.602.138/0001-60;MICROEMPRESA;MG;Contagem;magnustransportadora@hotmail.com
NANDA FLORES LOCACOES E SERVICOS;00.684.030/0001-64;MICROEMPRESA;RJ;Angra dos Reis;vanpretamaster@hotmail.com
Coopertran Ltda;00.691.905/0001-55;DEMAIS;MG;Congonhas;comercial@coopertran.coop.br
UNIDAS RENT A CAR;00.791.866/0001-68;DEMAIS;MT;Várzea Grande;unicgb1@terra.com.br
NATURAL RENT A CAR;00.834.920/0001-05;MICROEMPRESA;BA;Salvador;naturalcar@naturalcar.com.br
AGUIA TURISMO;00.860.573/0001-95;EMPRESA DE PEQUENO PORTE;PB;Campina Grande;aguiaturismo@uol.com.br
*****************************************;00.874.402/0001-15;MICROEMPRESA;CE;Camocim;ivoneidemuniz@hotmail.com
Intercities Rent a Car;00.886.412/0001-70;MICROEMPRESA;SP;Lorena;CONCOBRE@TERRA.COM.BR
JR - LOCAÇÕES E SERVIÇOS;00.947.508/0001-00;MICROEMPRESA;AL;Maceió;eladiopino@gmail.com
OLHO VIVO LOCACAO & TURISMO;00.968.345/0001-33;EMPRESA DE PEQUENO PORTE;MA;Chapadinha;olhovivo-2@hotmail.com
DIAMANTINA TURISMO;01.001.266/0001-11;EMPRESA DE PEQUENO PORTE;BA;Lapão;SATURLAPAO@GMAIL.COM
GUIMARAES TRANSPORTADORA E LOCADORA;01.099.497/0001-00;DEMAIS;BA;Jacobina;ATENDIMENTO@LOCADORAGUIMARAES.COM.BR
RANIERI LOCADORA;01.120.734/0001-77;MICROEMPRESA;CE;Fortaleza;ranierilocadora@gmail.com
V H TOUR;01.179.482/0001-51;MICROEMPRESA;RJ;Cabo Frio;tridentevhtour@gmail.com
GRUPO ADONAI LOCACAO E TRANSPORTE LOGISTICO;01.200.121/0001-40;EMPRESA DE PEQUENO PORTE;PA;Tucuruí;GRUPOADONAI.COMERCIAL@GMAIL.COM
SANTIAGO TURISMO;01.329.578/0001-59;MICROEMPRESA;SP;Itararé;gerencia@santiagotransportes.com.br
PURIM TURISMO LTDA ME;01.400.739/0001-53;MICROEMPRESA;RJ;Barra Mansa;PURIMTURISMO@BOL.COM.BR
LOCAR LOCADORA DE AUTOMOVEIS;01.466.733/0001-89;MICROEMPRESA;RJ;Barra Mansa;tc.mateus@uol.com.br
TRANSTOP;01.488.787/0001-45;DEMAIS;SE;Aracaju;transtop@transtoplocadora.com.br
TANGARA VEICULOS EIRELI EPP;01.519.567/0001-31;EMPRESA DE PEQUENO PORTE;RN;Natal;TANGARAVEICULOS@GMAIL.COM
GELLER TRANSPORTE;01.577.329/0001-82;MICROEMPRESA;MS;Campo Grande;r7solucoesempresarial@gmail.com
INVESTCAR VEICULOS;01.615.224/0001-70;MICROEMPRESA;DF;Brasília;comercialinvestcar@gmail.com
JR LOCADORA DE VEICULOS RENT A CAR;01.634.988/0001-03;MICROEMPRESA;CE;Fortaleza;jrrentacarjr@hotmail.com
Cooperman;01.648.994/0001-10;DEMAIS;MG;Juiz de Fora;van@coopermanjf.com.br
LIFE BRASIL LOCADORA DE VEICULOS;01.761.813/0001-67;MICROEMPRESA;SP;São Paulo;COMERCIAL@LIFEBRASIL.COM.BR
MA+S ALUGUEL DE CARROS;01.790.881/0001-54;MICROEMPRESA;MG;Ipatinga;MAISRENTCAR@HOTMAIL.COM
CELENTUR TRANSPORTE E TURISMO;01.857.692/0001-51;MICROEMPRESA;RJ;Rio de Janeiro;CELENTUR@CELENTUR.COM.BR
W4;01.857.859/0001-84;MICROEMPRESA;BA;Irecê;FINANCEIROWERNECK@GMAIL.COM
SOCTUR;01.889.198/0001-79;MICROEMPRESA;MG;Montes Claros;sociedadeturismo@hotmail.com
ALA VEICULOS;01.935.064/0001-47;MICROEMPRESA;MG;Iturama;fatima.iturama@gmail.com
HE TRANSPORTES EXECUTIVOS;01.943.590/0001-59;MICROEMPRESA;SP;Jundiaí;contato@hetransporte.com.br
S P TUR LOCADORA DE VEICULOS;01.966.881/0001-62;EMPRESA DE PEQUENO PORTE;SP;Americana;pinheiroquezia@ig.com.br
EXECUTIVA RENT A CAR;01.971.883/0001-40;EMPRESA DE PEQUENO PORTE;CE;Fortaleza;executivacas@gmail.com
DEL PLATA TRANSPORTES & LOCACAO;01.976.264/0001-48;EMPRESA DE PEQUENO PORTE;SP;São José dos Campos;del.plata@uol.com.br
JM CAR ALUGUEL DE CARROS;02.030.753/0001-75;EMPRESA DE PEQUENO PORTE;SC;Florianópolis;jmcar@jmcar.com.br
PASSAUTO AUTO CENTER LTDA-ME;02.084.612/0001-35;MICROEMPRESA;RJ;Rio de Janeiro;montalto@montalto.com.br
SANTA EDWIGES VIAGENS;02.163.381/0001-55;MICROEMPRESA;CE;Fortaleza;aline.nini.alves@hotmail.com
VELOSO VIP SERVICES;02.172.667/0001-05;MICROEMPRESA;DF;Brasília;velosovip@velosovip.com.br
AUTO CAR TURISMO;02.212.119/0001-53;MICROEMPRESA;PB;Campina Grande;locadora@autocarturismo.com.br
DB VAN LOCADORA DE AUTOMOVEIS LTDA - ME;02.229.070/0001-41;MICROEMPRESA;SP;Águas de São Pedro;contato@dbvanlocadora.com
EUROCAR;02.267.143/0001-90;MICROEMPRESA;PB;Bayeux;hugopirestjl@yahoo.com.br
H B U RENT CAR;02.387.111/0001-28;MICROEMPRESA;PA;Barcarena;hbuchoa@live.com
LOCADORA ACESSO;02.412.056/0001-89;MICROEMPRESA;RN;Natal;acessolocadora@gmail.com
EXITO DAS AGUIAS;02.441.265/0001-50;MICROEMPRESA;MG;Ipatinga;locarvan@gmail.com
