Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Natureza Jurídica;Tipo de Veículo;Veículos Aquáticos;Veículos Terrestre;Línguas;Quantidade de Veículos;Trimestre
REALIZA TRANSPORTES E LOCACAO DE VEICULOS LTDA;REALIZA RENT A CAR;00.215.234/0001-56;DEMAIS;28/09/1994;Em Operação;Locadora de Veículos para Turistas;40270-370;BA;Salvador;Vila Laura;Jorge Novis; - ;(71)3234-9100;paulo@realizarentacar.com.br;comercial@realizarentacar.com.br;www.realizarentacar.com.br;09/01/2020 15:20:28;09/01/2022 15:20:28;00.215.234/0001-56;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Automóvel; - ;1;2020T01
MULTI CAR LOCADORA DE VEICULOS LTDA;MULTI CAR LOCADORA DE VEICULOS LTDA;00.257.222/0001-94;DEMAIS;17/10/1994;Em Operação;Locadora de Veículos para Turistas;04321-002;SP;São Paulo;Jardim Oriental;Sem Logradouro; - ;(11)5531-2724;edgar@multicarlocadora.com.br;edgar@multicarlocadora.com.br; - ;19/03/2019 13:57:19;19/03/2021 13:57:19;00.257.222/0001-94;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Alemão|Espanhol|Francês|Italiano|Japonês|Mandarim|Russo;0;2020T01
LOCABRAS LOCADORA BRASILIA DE VEICULOS LTDA;LOCABRAS LOCADORA DE VEICULOS;00.331.066/0001-64;MICROEMPRESA;28/08/1972;Em Operação;Locadora de Veículos para Turistas;70330-400;DF;Brasília;Asa Sul;EQS 102/103; - ;(61)4141-7506;locabrasveiculos@gmail.com;locabrasveiculos@gmail.com; - ;12/02/2020 16:48:30;12/02/2022 16:48:30;00.331.066/0001-64;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês;0;2020T01
ATTITUDE TURISMO LTDA;ATTI LOCADORA DE VEICULOS;00.357.672/0001-59;MICROEMPRESA;15/12/1994;Em Operação;Locadora de Veículos para Turistas;88070-760;SC;Florianópolis;Canto;Felipe Neves, 84;sala 2;(48)3249-9000;attitude@attitude.tur.br;attitude@attitude.tur.br;;11/12/2018 14:44:51;11/12/2020 14:44:51;00.357.672/0001-59;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Microonibus; - ;2;2020T01
ALTOS DOS AUTOS COMERCIO E TRANSPORTE LTDA;LOCADORA AUTOVIA;00.410.723/0001-69;MICROEMPRESA;25/01/1995;Em Operação;Locadora de Veículos para Turistas;27265-030;RJ;Volta Redonda;Conforto;Duzentos e Cinqüenta e Um; - ;(24)9932-5757;CONTABILIDADE.OLLIVEIRA@HOTMAIL.COM;eliasromerson@gmail.com; - ;23/10/2019 12:06:53;23/10/2021 12:06:53;00.410.723/0001-69;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Português;0;2020T01
PORTENTO CONSTRUCOES LTDA;PORTENTO CONSTRUCOES LTDA;00.437.311/0001-12;DEMAIS;16/02/1995;Em Operação;Locadora de Veículos para Turistas;58071-570;PB;João Pessoa;Cristo Redentor;Josery Serrano de Assis; - ;(83)3223-3800;PORTENTO@TERRA.COM.BR;PORTENTO@TERRA.COM.BR; - ;25/09/2019 11:27:06;25/09/2021 11:27:06;00.437.311/0001-12;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
PLAY CITY EVENTOS EIRELI;PLAY CITY EVENTOS;00.546.072/0001-39;EMPRESA DE PEQUENO PORTE;07/04/1995;Em Operação;Locadora de Veículos para Turistas;29309-750;ES;Cachoeiro de Itapemirim;Elpídio Volpini;Abelardo Machado; - ;(28)3521-0923;playcity@playcity.com.br;playcity@playcity.com.br; - ;04/07/2019 10:41:53;04/07/2021 10:41:53;00.546.072/0001-39;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
ALEXANDRE MAGNO MAGALHAES DE MENDONCA;MAGNUS TRANSPORTADORA;00.602.138/0001-60;MICROEMPRESA;15/05/1995;Em Operação;Locadora de Veículos para Turistas;32041-090;MG;Contagem;Três Barras;Natal Verones; - ;(31)3390-1195;magnustransportadora@hotmail.com;magnustransportadora@hotmail.com; - ;03/07/2019 09:23:26;03/07/2021 09:23:26;00.602.138/0001-60;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
FERNANDA DE ANGRA FLORES - LOCACOES E SERVICOS LTDA;NANDA FLORES LOCACOES E SERVICOS;00.684.030/0001-64;MICROEMPRESA;23/06/1995;Em Operação;Locadora de Veículos para Turistas;23900-310;RJ;Angra dos Reis;Centro;Coronel Carvalho;- de 277/278 ao fim;(24)9999-9991;vanpretamaster@hotmail.com;vanpretamaster@hotmail.com; - ;28/01/2020 10:31:04;28/01/2022 10:31:04;00.684.030/0001-64;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
COOPERATIVA DE TRANSPORTE RODOVIARIO COOPERTRAN LTDA;Coopertran Ltda;00.691.905/0001-55;DEMAIS;03/07/1995;Em Operação;Locadora de Veículos para Turistas;36415-000;MG;Congonhas; - ;Rua Topázio, 123;Jardim VIla Andreza;(31)3731-1286;comercial@coopertran.coop.br;comercial@coopertran.coop.br;www.coopertran.coop.br;27/11/2019 14:40:04;27/11/2021 14:40:04;00.691.905/0001-55;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Cooperativa; - ; - ; - ; - ;0;2020T01
