Date;Continent;Deaths;Cumulative Deaths;Deaths Last 7 Days;Deaths Last 7 Days Change;Deaths Per Million;Confirmed;Cumulative Confirmed;Cases Last 7 Days;Cases Last 7 Days Change;Cases Per Million;Country;Population
1580601600000;EURO;0;0;0;0;0;5;5;5;0;0;ES;46756434
1580688000000;EURO;0;0;0;0;0;0;5;5;0;0;ES;46756434
1580774400000;EURO;0;0;0;0;0;0;5;5;0;0;ES;46756434
1580860800000;EURO;0;0;0;0;0;0;5;5;0;0;ES;46756434
1580947200000;EURO;0;0;0;0;0;0;5;5;0;0;ES;46756434
1581033600000;EURO;0;0;0;0;0;0;5;5;0;0;ES;46756434
1581120000000;EURO;0;0;0;0;0;0;5;5;0;0;ES;46756434
1581206400000;EURO;0;0;0;0;0;0;5;0;-100;0;ES;46756434
1581292800000;EURO;0;0;0;0;0;1;6;1;-80;0;ES;46756434
1581379200000;EURO;0;0;0;0;0;0;6;1;-80;0;ES;46756434
1581465600000;EURO;0;0;0;0;0;0;6;1;-80;0;ES;46756434
1581552000000;EURO;1;1;1;0;0;0;6;1;-80;0;ES;46756434
1581638400000;EURO;0;1;1;0;0;0;6;1;-80;0;ES;46756434
1581724800000;EURO;0;1;1;0;0;0;6;1;-80;0;ES;46756434
1581811200000;EURO;0;1;1;0;0;0;6;1;0;0;ES;46756434
1581897600000;EURO;0;1;1;0;0;0;6;0;-100;0;ES;46756434
1581984000000;EURO;0;1;1;0;0;0;6;0;-100;0;ES;46756434
1582070400000;EURO;0;1;1;0;0;0;6;0;-100;0;ES;46756434
1582156800000;EURO;0;1;0;-100;0;0;6;0;-100;0;ES;46756434
1582243200000;EURO;0;1;0;-100;0;0;6;0;-100;0;ES;46756434
1582329600000;EURO;0;1;0;-100;0;0;6;0;-100;0;ES;46756434
1582416000000;EURO;0;1;0;-100;0;0;6;0;-100;0;ES;46756434
1582502400000;EURO;0;1;0;-100;0;0;6;0;0;0;ES;46756434
1582588800000;EURO;0;1;0;-100;0;0;6;0;0;0;ES;46756434
1582675200000;EURO;0;1;0;-100;0;1;7;1;0;0;ES;46756434
1582761600000;EURO;0;1;0;0;0;9;16;10;0;0;ES;46756434
1582848000000;EURO;0;1;0;0;0;13;29;23;0;0;ES;46756434
1582934400000;EURO;0;1;0;0;0;7;36;30;0;0;ES;46756434
1583020800000;EURO;0;1;0;0;0;13;49;43;0;1;ES;46756434
1583107200000;EURO;0;1;0;0;0;21;70;64;0;1;ES;46756434
1583193600000;EURO;1;2;1;0;0;48;118;112;0;2;ES;46756434
1583280000000;EURO;2;4;3;0;0;37;155;148;14700;3;ES;46756434
1583366400000;EURO;1;5;4;0;0;49;204;188;1780;4;ES;46756434
