Deaths7;Cases7;Deaths7Trend;Cases7Trend;deaths7perc;cases7perc;Country;Label
328;3857;1;1;0.0007015077326042444;0.008249132087361496;ES;98.0
443;5379;1;1;0.0009474631876331715;0.011504299066092166;ES;97.0
603;7379;1;1;0.0012896620815864613;0.01578178524050829;ES;96.0
763;8167;1;1;0.0016318609755397511;0.017467114793228242;ES;95.0
962;9556;1;1;0.002057470849894156;0.02043782894136024;ES;94.0
1214;11572;1;1;0.0025964341078705874;0.024749535005171696;ES;93.0
1554;14178;1;1;0.0033236067575213284;0.030323099490435903;ES;92.0
1944;15745;1;1;0.004157716561532473;0.03367450990809094;ES;91.0
2350;19169;1;1;0.005026046254938946;0.040997566238691344;ES;90.0
2833;20815;1;1;0.00605905916606044;0.044517937360235814;ES;89.0
3354;23894;1;1;0.007173344314495841;0.05110312732574943;ES;88.0
3902;28491;1;1;0.008345375526285857;0.0609349292976449;ES;87.0
4438;33894;1;1;0.00949174182102938;0.07249055819783005;ES;86.0
4897;39041;1;1;0.01047342489805788;0.08349866886768995;ES;85.0
5217;44079;1;1;0.01115782268596446;0.09427365654104417;ES;84.0
5470;47322;1;1;0.0116989246870281;0.1012096003728599;ES;83.0
5699;50225;1;1;0.012188696853998746;0.10741837155502491;ES;82.0
5862;52106;1;1;0.01253731197721366;0.11144134730206329;ES;81.0
5948;54744;1;1;0.012721243882713555;0.11708335156611815;ES;80.0
5919;54526;1;1;0.01265922033318452;0.11661710557310678;ES;79.0
5801;54050;1;1;0.012406848648893968;0.11559906386359577;ES;78.0
5695;53651;1;1;0.012180141881649913;0.11474570537179975;ES;77.0
5631;52488;1;1;0.012043262324068597;0.11225834716137677;ES;76.0
5476;51962;0;1;0.011711757145551348;0.11113336829750532;ES;75.0
5319;49837;0;0;0.011375974480859682;0.10658853923718818;ES;74.0
5164;46093;0;0;0.011044469302342432;0.09858108511868122;ES;73.0
4992;44554;0;0;0.010676605491342646;0.095289559507468;ES;72.0
4876;42208;0;0;0.01042851129322651;0.09027206822487788;ES;71.0
4761;39312;0;0;0.010182555838197584;0.08407826824432334;ES;70.0
4558;37116;0;0;0.009748390991494348;0.07938158842481444;ES;69.0
4388;35260;0;0;0.009384804666668975;0.07541208125495627;ES;68.0
4250;34464;0;0;0.009089658120634263;0.07370964175753865;ES;67.0
4063;35524;0;0;0.008689713163326356;0.0759767094299792;ES;66.0
3884;33384;0;0;0.008306878150716113;0.07139979922335395;ES;65.0
3717;32028;0;0;0.007949708055152367;0.0684996635970998;ES;64.0
3534;31556;0;0;0.007558318070193292;0.0674901768599376;ES;63.0
3388;28939;0;0;0.007246061579460915;0.061893086200714105;ES;62.0
3184;27357;0;0;0.006809757989670469;0.058509594636750956;ES;61.0
3005;27232;0;0;0.006426922977060226;0.05824225175084995;ES;60.0
2797;23321;0;0;0.00598206441492095;0.04987762753677922;ES;59.0
2634;22333;0;0;0.005633449291706036;0.04776454936661765;ES;58.0
2471;20700;0;0;0.005284834168491122;0.044271981905206884;ES;57.0
2341;19540;0;0;0.005006797567154073;0.04179103992404553;ES;56.0
2431;18673;0;0;0.005199284445002799;0.03993674966743614;ES;55.0
2322;17817;0;0;0.004966161448497121;0.03810598558478604;ES;54.0
2173;16296;0;0;0.004647488728503119;0.03485295734914258;ES;53.0
2079;14977;0;0;0.004446446878305562;0.032031955217115146;ES;52.0
1985;14069;0;0;0.004245405028108003;0.030089976493930224;ES;51.0
1842;11820;0;0;0.003939564766637251;0.025279943290799294;ES;50.0
1753;10657;0;0;0.003749216631875733;0.022792585080376317;ES;49.0
1473;10677;0;0;0.0031503685674574757;0.02283535994212048;ES;48.0
1400;9832;0;0;0.002994240322091287;0.021028122033429665;ES;47.0
1328;8546;0;0;0.0028402508198123065;0.0182776984232801;ES;46.0
1251;8556;0;0;0.002675567602097286;0.01829908585415218;ES;45.0
1203;7408;0;0;0.0025729079339112987;0.015843808790037325;ES;44.0
1173;8012;0;0;0.0025087456412950567;0.017135609614710993;ES;43.0
1103;7641;0;0;0.0023590336251904922;0.016342135929356804;ES;42.0
1024;6996;0;0;0.002190072921301056;0.014962646638107601;ES;41.0
849;6933;0;0;0.0018157928810396446;0.014827905823613496;ES;40.0
676;7212;0;0;0.00144579032695265;0.015424615144944543;ES;39.0
647;6355;0;0;0.0013837667774236162;0.013591712319207234;ES;38.0
597;5968;0;0;0.001276829623063213;0.012764018744457716;ES;37.0
545;5556;0;0;0.0011656149825283939;0.011882856592527993;ES;36.0
507;4871;0;0;0.0010843427452144874;0.01041781757779047;ES;35.0
471;4846;0;0;0.0010073479940749972;0.010364349000610269;ES;34.0
527;4345;0;0;0.0011271176069586487;0.00929283871391903;ES;33.0
578;3747;0;0;0.00123619350440626;0.008013870347768608;ES;32.0
525;3862;0;0;0.0011228401207842326;0.008259825802797535;ES;31.0
477;4017;0;0;0.0010201804525982456;0.008591330981314784;ES;30.0
443;3973;0;0;0.0009474631876331715;0.00849722628547763;ES;29.0
422;3969;0;0;0.0009025495828018021;0.008488671313128799;ES;28.0
416;4020;0;0;0.0008897171242785539;0.00859774721057641;ES;27.0
417;3991;0;0;0.0008918558673657619;0.008535723661047375;ES;26.0
415;4000;0;1;0.0008875783811913458;0.008554972348832247;ES;25.0
406;3945;0;1;0.0008683296934064731;0.008437341479035805;ES;24.0
388;3869;0;0;0.000829832317836728;0.008274797004407992;ES;23.0
369;3780;0;0;0.0007891961991797749;0.008084448869646476;ES;22.0
341;3694;0;0;0.0007293113927379492;0.007900516964146582;ES;21.0
314;3633;0;0;0.0006715653293833315;0.007770053635826889;ES;20.0
294;3665;0;0;0.0006287904676391703;0.007838493414617547;ES;19.0
275;3600;0;0;0.0005881543489822171;0.007699475113949024;ES;18.0
243;3413;0;0;0.0005197145701915591;0.007299530156641115;ES;17.0
235;3180;0;0;0.0005026046254938947;0.006801203017321637;ES;16.0
224;3174;0;0;0.00047907845153460595;0.006788370558798389;ES;15.0
223;3022;0;0;0.0004769397084473978;0.006463281609542763;ES;14.0
202;2963;0;0;0.00043202610361602853;0.0063370957673974885;ES;13.0
184;2880;0;0;0.0003935287280462834;0.006159580091159219;ES;12.0
165;2847;0;0;0.0003528926093893302;0.006089001569281352;ES;11.0
159;2847;0;0;0.0003400601508660819;0.006089001569281352;ES;10.0
136;2803;0;0;0.00029086905986029643;0.005994896873444198;ES;9.0
137;2667;0;0;0.0002930078029475045;0.005704027813583901;ES;8.0
119;2532;0;0;0.0002545104273777594;0.005415297496810813;ES;7.0
112;2356;0;0;0.00023953922576730298;0.005038878713462194;ES;6.0
101;2224;0;0;0.00021601305180801427;0.00475656462595073;ES;5.0
97;2170;0;0;0.000207458079459182;0.004641072499241495;ES;4.0
88;2114;0;0;0.00018820939167430947;0.0045213028863578435;ES;3.0
83;2061;0;0;0.00017751567623826915;0.004407949502735816;ES;2.0
64;1961;0;0;0.000136879557581316;0.00419407519401501;ES;1.0
52;1993;0;0;0.00011121464053481923;0.004262514972805668;ES;0.0
142;5878;1;1;0.0002175020232666203;0.00900335839972672;FR;97.0
196;6774;1;1;0.0003002140602835041;0.010375765532451309;FR;96.0
324;8592;1;1;0.0004962722221013027;0.013160404112019729;FR;95.0
371;8831;1;1;0.0005682623283937755;0.0135264814610389;FR;94.0
471;9823;1;1;0.0007214327673139308;0.01504593221512684;FR;93.0
435;8912;1;1;0.0006662914093026749;0.013650549516564227;FR;92.0
526;9244;1;1;0.0008056765087200162;0.014159075373779143;FR;91.0
685;11959;1;1;0.0010492175066030627;0.018317652790461353;FR;90.0
856;12978;1;1;0.0013111389571565282;0.019878459563057737;FR;89.0
959;14043;1;1;0.0014689045092442878;0.021509724737557388;FR;88.0
1245;16311;1;1;0.0019069719645559316;0.024983630292266506;FR;87.0
1430;18246;1;1;0.0021903372765582187;0.027947478285371505;FR;86.0
1749;22849;1;1;0.0026789509767135133;0.03499791358886625;FR;85.0
1928;23821;1;1;0.002953126062380591;0.03648673025517016;FR;84.0
2157;24362;1;1;0.0033038863675077463;0.0373153823297282;FR;83.0
2414;29452;1;1;0.0036975343955325457;0.04511175767076409;FR;82.0
2688;31341;1;1;0.00411722139817377;0.04800514726196582;FR;81.0
2795;29541;1;1;0.004281113767818336;0.04524807936140303;FR;80.0
4501;30994;1;1;0.006894201455796183;0.047473645838912885;FR;79.0
5235;30612;1;1;0.008018472477470123;0.04688853476223789;FR;78.0
5462;29965;1;1;0.008366169373818875;0.04589752202242449;FR;77.0
5879;29511;1;1;0.00900489010411592;0.04520212822972699;FR;76.0
6799;25749;1;0;0.010414058142181349;0.03943985631755075;FR;75.0
6834;24834;1;0;0.010467667795803402;0.038038346801431325;FR;74.0
7702;27024;1;0;0.01179718720563035;0.04139277941378272;FR;73.0
6686;26147;1;0;0.010240975546201573;0.040049474664452966;FR;72.0
6268;25030;1;0;0.009600723111515325;0.03833856086171483;FR;71.0
6310;24775;1;0;0.00966505469586179;0.037947976242468436;FR;70.0
6050;23562;1;0;0.009266811554669387;0.03609001881836695;FR;69.0
5395;25307;0;0;0.008263545179742371;0.03876284297752366;FR;68.0
6293;24060;0;0;0.009639015721245363;0.03685280760418933;FR;67.0
5707;22427;0;0;0.008741436949173254;0.0343515343366232;FR;66.0
5480;18480;0;0;0.008393740052824502;0.028305897112444668;FR;65.0
5480;17934;0;0;0.008393740052824502;0.027469586515940624;FR;64.0
5315;17081;0;0;0.008141008828606246;0.026163042671951697;FR;63.0
5287;16463;0;0;0.008098121105708601;0.025216449359425137;FR;62.0
5055;13618;0;0;0.007742765687413843;0.02085875037214673;FR;61.0
4161;12806;0;0;0.006373421963467656;0.019615006408115067;FR;60.0
3924;11805;0;0;0.006010408023226888;0.018081770314524313;FR;59.0
3553;13175;0;0;0.005442145694833112;0.02018020532773044;FR;58.0
