regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;27/03/2020;13;2669342;0;0;0;0;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;28/03/2020;13;2669342;304;304;4;4;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;29/03/2020;14;2669342;338;34;5;1;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;30/03/2020;14;2669342;353;15;5;0;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;31/03/2020;14;2669342;371;18;6;1;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;01/04/2020;14;2669342;413;42;6;0;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;02/04/2020;14;2669342;507;94;16;10;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;03/04/2020;14;2669342;600;93;17;1;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;04/04/2020;14;2669342;680;80;17;0;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;05/04/2020;15;2669342;744;64;20;3;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;06/04/2020;15;2669342;925;181;24;4;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;07/04/2020;15;2669342;1053;128;30;6;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;08/04/2020;15;2669342;1213;160;41;11;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;09/04/2020;15;2669342;1283;70;45;4;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;10/04/2020;15;2669342;1366;83;53;8;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;11/04/2020;15;2669342;1457;91;58;5;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;12/04/2020;16;2669342;1529;72;59;1;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;13/04/2020;16;2669342;1686;157;78;19;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;14/04/2020;16;2669342;1794;108;86;8;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;15/04/2020;16;2669342;1946;152;93;7;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;16/04/2020;16;2669342;2041;95;95;2;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;17/04/2020;16;2669342;2263;222;113;18;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;18/04/2020;16;2669342;2562;299;141;28;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;19/04/2020;17;2669342;2688;126;148;7;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;20/04/2020;17;2669342;2840;152;164;16;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;21/04/2020;17;2669342;3018;178;178;14;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;22/04/2020;17;2669342;3303;285;189;11;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;23/04/2020;17;2669342;3791;488;212;23;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;24/04/2020;17;2669342;4063;272;228;16;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;25/04/2020;17;2669342;4541;478;259;31;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;26/04/2020;18;2669342;4852;311;285;26;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;27/04/2020;18;2669342;5280;428;310;25;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;28/04/2020;18;2669342;5481;201;329;19;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;29/04/2020;18;2669342;5712;231;349;20;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;30/04/2020;18;2669342;5875;163;373;24;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;01/05/2020;18;2669342;6083;208;403;30;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;02/05/2020;18;2669342;6353;270;498;95;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;03/05/2020;19;2669342;6417;64;528;30;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;04/05/2020;19;2669342;8198;1781;553;25;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;05/05/2020;19;2669342;8509;311;608;55;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;06/05/2020;19;2669342;9061;552;651;43;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;07/05/2020;19;2669342;9669;608;694;43;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;08/05/2020;19;2669342;10348;679;741;47;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;09/05/2020;19;2669342;10995;647;809;68;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;10/05/2020;20;2669342;11556;561;840;31;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;11/05/2020;20;2669342;11935;379;893;53;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;12/05/2020;20;2669342;12484;549;950;57;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;13/05/2020;20;2669342;13037;553;1022;72;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;14/05/2020;20;2669342;13777;740;1039;17;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;15/05/2020;20;2669342;14259;482;1088;49;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;16/05/2020;20;2669342;15162;903;1163;75;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;17/05/2020;21;2669342;15371;209;1174;11;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;18/05/2020;21;2669342;16169;798;1253;79;;;1
Nordeste;CE;Fortaleza;23;230440;23001;1ª REGIAO FORTALEZA;19/05/2020;21;2669342;16784;615;1307;54;;;1
