regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;27/03/2020;13;809015;0;0;0;0;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;28/03/2020;13;809015;10;10;0;0;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;29/03/2020;14;809015;10;0;0;0;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;30/03/2020;14;809015;11;1;0;0;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;31/03/2020;14;809015;12;1;0;0;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;01/04/2020;14;809015;15;3;0;0;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;02/04/2020;14;809015;15;0;0;0;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;03/04/2020;14;809015;23;8;0;0;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;04/04/2020;14;809015;24;1;0;0;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;05/04/2020;15;809015;26;2;2;2;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;06/04/2020;15;809015;26;0;2;0;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;07/04/2020;15;809015;27;1;2;0;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;08/04/2020;15;809015;30;3;2;0;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;09/04/2020;15;809015;40;10;4;2;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;10/04/2020;15;809015;58;18;7;3;;;1
Nordeste;PB;João Pessoa;25;250750;25001;1ª REGIAO MATA ATLANTICA;11/04/2020;15;809015;64;6;7;0;;;1
