regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;27/03/2020;13;1018948;0;0;0;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;28/03/2020;13;1018948;13;13;0;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;29/03/2020;14;1018948;16;3;0;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;30/03/2020;14;1018948;12;-4;0;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;31/03/2020;14;1018948;13;1;1;1;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;01/04/2020;14;1018948;17;4;1;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;02/04/2020;14;1018948;13;-4;1;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;03/04/2020;14;1018948;17;4;2;1;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;04/04/2020;14;1018948;17;0;2;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;05/04/2020;15;1018948;20;3;2;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;06/04/2020;15;1018948;22;2;2;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;07/04/2020;15;1018948;22;0;2;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;08/04/2020;15;1018948;27;5;2;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;09/04/2020;15;1018948;27;0;2;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;10/04/2020;15;1018948;34;7;2;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;11/04/2020;15;1018948;37;3;2;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;12/04/2020;16;1018948;37;0;2;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;13/04/2020;16;1018948;39;2;2;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;14/04/2020;16;1018948;58;19;2;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;15/04/2020;16;1018948;66;8;3;1;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;16/04/2020;16;1018948;70;4;3;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;17/04/2020;16;1018948;90;20;5;2;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;18/04/2020;16;1018948;107;17;6;1;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;19/04/2020;17;1018948;131;24;9;3;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;20/04/2020;17;1018948;140;9;12;3;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;21/04/2020;17;1018948;176;36;13;1;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;22/04/2020;17;1018948;205;29;14;1;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;23/04/2020;17;1018948;280;75;14;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;24/04/2020;17;1018948;355;75;18;4;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;25/04/2020;17;1018948;427;72;18;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;26/04/2020;18;1018948;472;45;20;2;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;27/04/2020;18;1018948;535;63;22;2;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;28/04/2020;18;1018948;645;110;24;2;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;29/04/2020;18;1018948;791;146;26;2;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;30/04/2020;18;1018948;853;62;32;6;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;01/05/2020;18;1018948;1008;155;38;6;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;02/05/2020;18;1018948;1124;116;41;3;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;03/05/2020;19;1018948;1179;55;43;2;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;04/05/2020;19;1018948;1260;81;46;3;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;05/05/2020;19;1018948;1296;36;50;4;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;06/05/2020;19;1018948;1358;62;56;6;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;07/05/2020;19;1018948;1473;115;61;5;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;08/05/2020;19;1018948;1581;108;71;10;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;09/05/2020;19;1018948;1676;95;73;2;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;10/05/2020;20;1018948;1725;49;78;5;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;11/05/2020;20;1018948;1779;54;85;7;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;12/05/2020;20;1018948;1939;160;93;8;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;13/05/2020;20;1018948;2064;125;104;11;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;14/05/2020;20;1018948;2170;106;112;8;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;15/05/2020;20;1018948;2310;140;119;7;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;16/05/2020;20;1018948;2524;214;131;12;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;17/05/2020;21;1018948;2594;70;135;4;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;18/05/2020;21;1018948;2746;152;144;9;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;19/05/2020;21;1018948;2895;149;150;6;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;20/05/2020;21;1018948;2905;10;162;12;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;21/05/2020;21;1018948;3156;251;169;7;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;22/05/2020;21;1018948;3277;121;184;15;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;23/05/2020;21;1018948;3433;156;193;9;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;24/05/2020;22;1018948;3585;152;199;6;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;25/05/2020;22;1018948;3848;263;213;14;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;26/05/2020;22;1018948;4064;216;223;10;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;27/05/2020;22;1018948;4360;296;230;7;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;28/05/2020;22;1018948;4589;229;237;7;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;29/05/2020;22;1018948;4833;244;248;11;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;30/05/2020;22;1018948;5107;274;262;14;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;31/05/2020;23;1018948;5891;784;275;13;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;01/06/2020;23;1018948;6098;207;288;13;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;02/06/2020;23;1018948;6325;227;301;13;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;03/06/2020;23;1018948;6760;435;317;16;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;04/06/2020;23;1018948;7113;353;335;18;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;05/06/2020;23;1018948;7513;400;354;19;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;06/06/2020;23;1018948;7840;327;369;15;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;07/06/2020;24;1018948;8133;293;377;8;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;08/06/2020;24;1018948;8133;0;377;0;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;09/06/2020;24;1018948;8698;565;406;29;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;10/06/2020;24;1018948;9044;346;419;13;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;11/06/2020;24;1018948;9373;329;426;7;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;12/06/2020;24;1018948;9790;417;432;6;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;13/06/2020;24;1018948;10111;321;443;11;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;14/06/2020;25;1018948;10615;504;454;11;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;15/06/2020;25;1018948;10984;369;467;13;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;16/06/2020;25;1018948;11294;310;483;16;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;17/06/2020;25;1018948;11613;319;490;7;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;18/06/2020;25;1018948;11728;115;500;10;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;19/06/2020;25;1018948;12074;346;509;9;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;20/06/2020;25;1018948;12213;139;522;13;;;1
Nordeste;AL;Maceió;27;270430;27001;1ª REGIAO DE SAUDE;21/06/2020;26;1018948;12637;424;534;12;;;1
