regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Nordeste;PE;Recife;26;261160;26010;RECIFE;27/03/2020;13;1645727;0;0;0;0;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;28/03/2020;13;1645727;46;46;4;4;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;29/03/2020;14;1645727;50;4;4;0;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;30/03/2020;14;1645727;53;3;4;0;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;31/03/2020;14;1645727;1;-52;4;0;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;01/04/2020;14;1645727;64;63;5;1;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;02/04/2020;14;1645727;74;10;6;1;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;03/04/2020;14;1645727;92;18;6;0;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;04/04/2020;14;1645727;119;27;10;4;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;05/04/2020;15;1645727;139;20;14;4;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;06/04/2020;15;1645727;146;7;16;2;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;07/04/2020;15;1645727;221;75;18;2;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;08/04/2020;15;1645727;254;33;22;4;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;09/04/2020;15;1645727;340;86;27;5;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;10/04/2020;15;1645727;413;73;32;5;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;11/04/2020;15;1645727;486;73;34;2;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;12/04/2020;16;1645727;557;71;37;3;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;13/04/2020;16;1645727;672;115;46;9;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;14/04/2020;16;1645727;733;61;49;3;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;15/04/2020;16;1645727;857;124;62;13;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;16/04/2020;16;1645727;958;101;70;8;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;17/04/2020;16;1645727;1136;178;85;15;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;18/04/2020;16;1645727;1255;119;94;9;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;19/04/2020;17;1645727;1399;144;100;6;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;20/04/2020;17;1645727;1552;153;106;6;;;1
Nordeste;PE;Recife;26;261160;26010;RECIFE;21/04/2020;17;1645727;1687;135;113;7;;;1
