regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;27/03/2020;13;2872347;0;0;0;0;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;28/03/2020;13;2872347;82;82;0;0;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;29/03/2020;14;2872347;103;21;1;1;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;30/03/2020;14;2872347;117;14;1;0;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;31/03/2020;14;2872347;132;15;2;1;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;01/04/2020;14;2872347;153;21;2;0;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;02/04/2020;14;2872347;167;14;3;1;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;03/04/2020;14;2872347;183;16;5;2;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;04/04/2020;14;2872347;215;32;5;0;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;05/04/2020;15;2872347;243;28;7;2;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;06/04/2020;15;2872347;257;14;8;1;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;07/04/2020;15;2872347;268;11;10;2;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;08/04/2020;15;2872347;290;22;11;1;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;09/04/2020;15;2872347;312;22;11;0;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;10/04/2020;15;2872347;341;29;11;0;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;11/04/2020;15;2872347;353;12;11;0;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;12/04/2020;16;2872347;362;9;11;0;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;13/04/2020;16;2872347;388;26;11;0;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;14/04/2020;16;2872347;425;37;13;2;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;15/04/2020;16;2872347;519;94;0;-13;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;16/04/2020;16;2872347;569;50;18;18;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;17/04/2020;16;2872347;642;73;18;0;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;18/04/2020;16;2872347;759;117;19;1;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;19/04/2020;17;2872347;762;3;22;3;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;20/04/2020;17;2872347;821;59;23;1;;;1
Nordeste;BA;Salvador;29;292740;29020;SALVADOR;21/04/2020;17;2872347;922;101;24;1;;;1
